,Customer ID,Probability of Churn,Churn Class,CLTV,Recency,Frequency,Monetary,Geography
0,17850,0.7349,Medium,39291.30357,110,2738,53464.83,United Kingdom
1,16754,0.6455,Medium,31816.03014,180,156,49288.97,United Kingdom
2,13093,0.5288,Low,27774.61188,75,1091,52523.85,United Kingdom
3,12482,0.8149,High,17880.30763,384,202,21941.72,Sweden
4,13902,0.4989,Low,15154.21721,440,65,30375.26,Denmark
5,17448,0.9082,High,12870.29292,337,1115,14171.21,United Kingdom
6,18102,0.0279,Low,11417.45395,15,707,409227.74,United Kingdom
7,18251,0.4663,Low,10241.87848,253,92,21964.14,United Kingdom
8,14646,0.0284,Low,9937.541696,0,2586,349913.44,Netherlands
9,13687,0.763,Medium,9065.08092,246,45,11880.84,United Kingdom
10,18052,0.8159,High,8874.691162,373,16,10877.18,United Kingdom
11,14063,0.8816,High,8350.0744,495,38,9471.5,United Kingdom
12,14091,0.829,High,7900.43632,462,13,9530.08,United Kingdom
13,14911,0.042,Low,7076.1159,5,7237,168478.95,EIRE
14,12409,0.5854,Low,6982.264836,229,156,11927.34,Switzerland
15,15749,0.3157,Low,6383.10673,43,11,20218.9,United Kingdom
16,14156,0.0277,Low,6240.205309,16,3195,225278.17,EIRE
17,15808,0.3446,Low,6161.527258,114,864,17880.23,United Kingdom
18,14160,0.7278,Medium,6129.145866,418,107,8421.47,United Kingdom
19,15413,0.8763,High,5957.718336,500,25,6798.72,United Kingdom
20,14439,0.6289,Medium,5938.727856,128,129,9443.04,Greece
21,15838,0.1224,Low,5586.69708,27,91,45642.95,United Kingdom
22,14028,0.8002,High,5430.1572,358,12,6786,United Kingdom
23,13564,0.3313,Low,5414.064844,162,1306,16341.88,United Kingdom
24,13935,0.8452,High,5101.052464,405,79,6035.32,United Kingdom
25,14088,0.2338,Low,4816.70084,130,185,20601.8,United Kingdom
26,13694,0.0315,Low,4779.791415,1,1253,151739.41,United Kingdom
27,15332,0.6779,Medium,4403.123196,174,186,6495.24,Lithuania
28,12835,0.6817,Medium,4102.927339,226,630,6018.67,United Kingdom
29,14855,0.6977,Medium,4098.743305,282,187,5874.65,United Kingdom
30,15523,0.2936,Low,3956.180728,196,197,13474.73,United Kingdom
31,17450,0.0413,Low,3942.033788,1,211,95448.76,United Kingdom
32,15061,0.0346,Low,3900.146946,20,834,112721.01,United Kingdom
33,13206,0.4366,Low,3655.101684,208,579,8371.74,United Kingdom
34,14249,0.6509,Medium,3509.301314,218,286,5391.46,United Kingdom
35,12357,0.3102,Low,3483.542898,197,164,11229.99,Switzerland
36,17406,0.7539,Medium,3448.64016,138,268,4574.4,United Kingdom
37,17584,0.8368,High,3373.743296,275,88,4031.72,United Kingdom
38,14298,0.0501,Low,3268.611174,28,2002,65241.74,United Kingdom
39,14134,0.3351,Low,3180.551385,190,169,9491.35,United Kingdom
40,17511,0.0273,Low,3161.060721,14,1474,115789.77,United Kingdom
41,15633,0.7529,Medium,3129.850474,317,184,4157.06,United Kingdom
42,14025,0.802,High,3117.775,273,101,3887.5,United Kingdom
43,14685,0.7148,Medium,2987.192088,384,196,4179.06,United Kingdom
44,17949,0.0528,Low,2937.059136,0,110,55626.12,United Kingdom
45,17157,0.7156,Medium,2936.32148,288,114,4103.3,United Kingdom
46,16549,0.3347,Low,2917.660228,142,2277,8717.24,United Kingdom
47,16749,0.7359,Medium,2868.155532,399,75,3897.48,United Kingdom
48,13174,0.3313,Low,2853.298059,124,1047,8612.43,United Kingdom
49,12939,0.1361,Low,2846.030652,81,65,20911.32,United Kingdom
50,13734,0.8154,High,2814.181866,316,30,3451.29,United Kingdom
51,14459,0.789,Medium,2791.33998,459,75,3537.82,United Kingdom
52,14045,0.3013,Low,2787.817419,146,42,9252.63,United Kingdom
53,17044,0.2526,Low,2762.198682,167,152,10935.07,United Kingdom
54,15769,0.0455,Low,2745.53006,6,149,60341.32,United Kingdom
55,16684,0.0273,Low,2731.236963,14,597,100045.31,United Kingdom
56,15311,0.0299,Low,2459.7833,4,3448,82267,United Kingdom
57,17404,0.0872,Low,2456.739664,19,188,28173.62,Sweden
58,13089,0.0299,Low,2407.032225,6,2464,80502.75,United Kingdom
59,14648,0.5619,Low,2389.339275,212,447,4252.25,United Kingdom
60,15538,0.7887,Medium,2387.513205,346,33,3027.15,United Kingdom
61,14918,0.5651,Low,2369.611226,212,94,4193.26,United Kingdom
62,17145,0.7671,Medium,2272.717854,273,183,2962.74,United Kingdom
63,17032,0.7992,Medium,2267.306424,411,240,2836.97,United Kingdom
64,16636,0.595,Low,2262.2138,246,73,3802.04,United Kingdom
