,Customer ID,x,y,Unnamed: 0,Probability of Churn,Churn Class,CLTV,Recency,Frequency,Monetary,Geography
0,16393,-18.429573,-4.127236,3111,0.063,Low,209.26521,23,554,3321.67,United Kingdom
1,16395,-15.264589,6.126476,1075,0.1872,Low,448.392672,132,498,2395.26,United Kingdom
2,16400,-1.3685656,8.926498,637,0.2198,Low,593.440218,203,248,2699.91,United Kingdom
3,16401,-22.801886,-12.119477,2348,0.0647,Low,266.456598,18,247,4118.34,United Kingdom
4,16407,31.238232,12.817018,2600,0.1698,Low,246.432438,2,115,1451.31,United Kingdom
5,16409,3.776194,7.968514,1527,0.0812,Low,359.555224,50,671,4428.02,United Kingdom
6,16416,28.473564,1.108799,674,0.3053,Low,577.621494,198,114,1891.98,United Kingdom
7,16422,-24.34166,9.992966,157,0.0315,Low,1305.176985,0,528,41434.19,United Kingdom
8,16434,25.298948,9.175701,3512,0.0928,Low,179.012128,0,120,1929.01,United Kingdom
9,16440,11.168632,-11.788699,4506,0.194,Low,94.81944,22,60,488.76,United Kingdom
10,16444,-4.0267,8.347025,3496,0.0587,Low,180.135038,3,329,3068.74,United Kingdom
11,16455,6.007712,-11.76688,2833,0.0635,Low,228.55682,13,188,3599.32,United Kingdom
12,16456,7.425294,10.951148,2991,0.0372,Low,218.25984,36,383,5867.2,United Kingdom
13,16458,-6.6441298,0.050451014,3005,0.0669,Low,217.29789,25,244,3248.1,United Kingdom
14,16466,20.655556,10.006249,3999,0.0717,Low,142.17393,17,229,1982.9,United Kingdom
15,16467,-23.708797,5.057835,68,0.7768,Medium,2223.51232,317,25,2862.4,United Kingdom
16,16470,-16.839785,6.7060513,4268,0.0587,Low,117.842011,1,364,2007.53,United Kingdom
17,16477,-4.6611323,3.151515,2469,0.0793,Low,256.723441,22,203,3237.37,United Kingdom
18,16497,22.719793,2.771767,3678,0.032,Low,166.13728,11,284,5191.79,United Kingdom
19,16499,-17.790089,1.6521822,444,0.286,Low,712.63764,168,151,2491.74,United Kingdom
20,16503,-16.333284,9.220307,2689,0.0735,Low,239.562225,22,199,3259.35,United Kingdom
21,16515,3.8829868,-16.540792,2368,0.1196,Low,264.4954,55,180,2211.5,United Kingdom
22,16520,0.3742501,3.280402,3455,0.0893,Low,183.263246,47,374,2052.22,United Kingdom
23,16523,-5.5934553,-3.208483,2671,0.0457,Low,240.865049,8,193,5270.57,United Kingdom
24,16525,26.276001,12.52312,733,0.0317,Low,552.192127,5,285,17419.31,United Kingdom
25,16532,-14.483175,19.553528,106,0.4359,Low,1707.960816,146,3,3918.24,United Kingdom
26,16539,29.643261,9.608819,1258,0.1186,Low,402.861666,28,145,3396.81,United Kingdom
27,16546,11.855563,-10.483017,628,0.1563,Low,599.779368,99,107,3837.36,United Kingdom
28,16549,0.21934219,7.112807,46,0.3347,Low,2917.660228,142,2277,8717.24,United Kingdom
29,16550,-13.485508,6.1343555,1521,0.0458,Low,360.487678,43,689,7870.91,United Kingdom
30,16553,-0.5595016,-15.310911,960,0.0305,Low,474.800515,13,291,15567.23,United Kingdom
31,16554,30.524109,9.234546,3902,0.0753,Low,149.593239,12,173,1986.63,United Kingdom
32,16556,16.759901,-10.753605,2725,0.0419,Low,237.104139,10,390,5658.81,United Kingdom
33,16558,7.681182,-1.2432405,2203,0.0317,Low,278.513347,1,546,8785.91,United Kingdom
34,16560,20.931904,-11.639679,392,0.3034,Low,761.09407,166,163,2508.55,United Kingdom
35,16563,-4.138619,-17.699308,255,0.3471,Low,959.502414,208,65,2764.34,United Kingdom
36,16570,-6.857677,-11.2923,3040,0.0462,Low,214.827228,13,184,4649.94,United Kingdom
37,16571,3.7317245,-11.347621,1347,0.1219,Low,387.216569,90,207,3176.51,United Kingdom
38,16584,21.46503,18.86284,1103,0.1598,Low,441.260534,54,78,2761.33,United Kingdom
39,16592,5.4644356,-3.8972876,110,0.3647,Low,1685.337052,7,294,4621.16,United Kingdom
40,16607,-30.62919,1.4626452,2053,0.0777,Low,292.040889,16,201,3758.57,United Kingdom
41,16609,-3.8685658,-0.22579911,3286,0.1025,Low,196.47405,5,107,1916.82,United Kingdom
42,16612,-2.2965386,-0.20198928,578,0.2764,Low,626.065348,120,117,2265.07,United Kingdom
43,16618,7.8365684,-13.581542,2395,0.1839,Low,261.936126,12,55,1424.34,United Kingdom
44,16626,5.479475,5.780105,1676,0.4221,Low,334.999665,71,48,793.65,United Kingdom
45,16633,25.597485,2.8746476,3300,0.4534,Low,195.492478,42,25,431.17,United Kingdom
46,16636,-9.793017,-3.393283,64,0.595,Low,2262.2138,246,73,3802.04,United Kingdom
47,16638,-0.91229653,14.190385,1765,0.1651,Low,323.1007,61,108,1957.0,United Kingdom
48,16652,21.158407,-0.19826005,535,0.048,Low,652.04112,20,213,13584.19,United Kingdom
49,16655,16.514421,-13.117701,395,0.2126,Low,758.15286,140,388,3566.1,United Kingdom
50,16656,16.28734,-15.089576,596,0.0547,Low,615.583407,1,111,11253.81,United Kingdom
51,16670,9.515518,12.5542755,1956,0.0539,Low,299.019413,55,363,5547.67,United Kingdom
52,16672,-11.8105345,-20.447887,1644,0.097,Low,338.36898,12,60,3488.34,United Kingdom
53,16678,4.4814296,-18.722574,2938,0.1754,Low,221.73191,6,71,1264.15,United Kingdom
54,16684,11.233281,-5.8834314,55,0.0273,Low,2731.236963,14,597,100045.31,United Kingdom
55,16686,-22.74107,3.679958,3091,0.0654,Low,210.477474,2,798,3218.31,United Kingdom
56,16700,-11.262645,-10.499994,2804,0.0334,Low,231.197806,5,407,6922.09,United Kingdom
57,16701,-6.796542,-13.477484,2858,0.036,Low,226.95984,14,185,6304.44,United Kingdom
58,16705,-3.2670588,-12.416114,239,0.029,Low,985.90691,7,540,33996.79,United Kingdom
59,16709,13.931274,-5.66314,1690,0.0419,Low,333.548302,8,276,7960.58,United Kingdom
60,16710,-2.5601737,13.303638,3898,0.0273,Low,149.902662,15,852,5490.94,United Kingdom
61,16711,23.686794,3.2487652,278,0.539,Low,915.89575,110,16,1699.25,United Kingdom
62,16712,-11.256989,-13.4381075,4351,0.0604,Low,110.286172,20,265,1825.93,United Kingdom
63,16713,7.7151713,0.17758413,717,0.0557,Low,559.856853,44,943,10051.29,United Kingdom
