Country,Year,Month,Sales
Australia,2009,December,271.1
Australia,2010,April,630.95
Australia,2010,August,176.0
Australia,2010,December,1650.0
Australia,2010,February,1029.66
Australia,2010,July,631.12
Australia,2010,June,3214.78
Australia,2010,March,429.39
Australia,2010,May,1296.35
Australia,2010,November,18235.52
Australia,2010,October,2962.8
Australia,2010,September,785.83
Australia,2011,April,421.6
Australia,2011,August,22489.2
Australia,2011,February,14679.07
Australia,2011,January,8967.31
Australia,2011,July,4931.68
Australia,2011,June,25187.77
Australia,2011,March,17207.64
Australia,2011,May,13405.91
Australia,2011,November,7010.22
Australia,2011,October,17150.53
Australia,2011,September,5090.38
Austria,2009,December,1918.3400000000001
Austria,2010,April,1388.54
Austria,2010,August,1043.15
Austria,2010,December,157.2
Austria,2010,February,878.86
Austria,2010,June,268.1
Austria,2010,March,685.13
Austria,2010,May,502.03999999999996
Austria,2010,November,2477.6
Austria,2010,October,956.7
Austria,2010,September,1400.17
Austria,2011,April,505.58000000000004
Austria,2011,August,1436.08
Austria,2011,December,523.2
Austria,2011,February,438.36
Austria,2011,July,1111.95
Austria,2011,March,1308.1200000000001
Austria,2011,May,1016.7299999999999
Austria,2011,November,1209.78
Austria,2011,October,923.78
Bahrain,2010,December,205.74
Bahrain,2010,February,439.85
Bahrain,2010,June,463.28
Bahrain,2010,March,548.8
Bahrain,2010,May,585.96
Bahrain,2010,October,317.76
Bahrain,2011,May,548.4
Belgium,2009,December,287.6
Belgium,2010,April,2360.39
Belgium,2010,August,1536.62
Belgium,2010,December,1910.01
Belgium,2010,February,1665.85
Belgium,2010,January,1439.02
Belgium,2010,July,1716.23
Belgium,2010,June,3260.84
Belgium,2010,March,590.02
Belgium,2010,May,83.15
Belgium,2010,November,4652.9800000000005
Belgium,2010,October,1304.72
Belgium,2010,September,1070.91
Belgium,2011,April,1788.48
Belgium,2011,August,3140.02
Belgium,2011,December,1288.73
Belgium,2011,February,1906.27
Belgium,2011,January,1080.2
Belgium,2011,July,2205.57
Belgium,2011,June,3844.5
Belgium,2011,March,2994.98
Belgium,2011,May,2486.4
Belgium,2011,November,5619.76
Belgium,2011,October,5138.03
Belgium,2011,September,3762.67
Bermuda,2010,March,1253.1399999999999
Brazil,2010,September,255.67000000000002
Brazil,2011,April,1143.6
Canada,2010,November,364.07
Canada,2010,October,834.89
Canada,2011,August,51.559999999999995
Canada,2011,July,1217.64
Canada,2011,June,1171.46
Canada,2011,March,140.54
Canada,2011,May,534.24
Channel Islands,2009,December,989.18
Channel Islands,2010,April,926.82
Channel Islands,2010,August,1345.44
Channel Islands,2010,December,727.06
Channel Islands,2010,January,838.75
Channel Islands,2010,June,845.0
Channel Islands,2010,March,1065.12
Channel Islands,2010,May,5280.27
Channel Islands,2010,November,2157.53
Channel Islands,2010,October,4341.19
Channel Islands,2010,September,6156.34
Channel Islands,2011,April,293.0
Channel Islands,2011,August,4861.38
Channel Islands,2011,December,198.4
Channel Islands,2011,February,1784.71
Channel Islands,2011,January,675.58
Channel Islands,2011,June,1935.23
Channel Islands,2011,March,3457.58
Channel Islands,2011,May,914.24
Channel Islands,2011,November,1479.37
Channel Islands,2011,October,2410.92
Channel Islands,2011,September,1323.75
Cyprus,2009,December,3503.88
Cyprus,2010,April,1151.7
Cyprus,2010,December,1422.17
Cyprus,2010,February,750.49
Cyprus,2010,January,41.120000000000005
Cyprus,2010,June,489.8
Cyprus,2010,March,2715.99
Cyprus,2010,May,477.36
Cyprus,2010,November,397.59999999999997
Cyprus,2010,October,551.33
Cyprus,2010,September,861.98
Cyprus,2011,February,3893.35
Cyprus,2011,January,547.5
Cyprus,2011,June,1109.32
Cyprus,2011,March,938.39
Cyprus,2011,November,431.39
Cyprus,2011,October,4324.37
Cyprus,2011,September,196.35
Czech Republic,2011,February,549.26
Czech Republic,2011,October,237.48
Denmark,2009,December,1365.66
Denmark,2010,April,748.0
Denmark,2010,August,2533.53
Denmark,2010,December,2275.0
Denmark,2010,February,19809.899999999998
Denmark,2010,January,7870.6
