Country,Year,Total Sales,Average Sales per Customer,Customer Concentration,Average Sales per Transaction,Unit Price
Australia,2009,271.1,135.55,2,135.55,1.917857142857143
Australia,2010,31042.399999999998,2069.4933333333333,15,913.0117647058823,2.9282059282371296
Australia,2011,136541.31,15171.256666666666,9,2576.2511320754716,2.702963286713287
Austria,2009,1918.34,959.17,2,959.17,4.091891891891892
Austria,2010,9757.49,975.749,10,443.5222727272727,2.412600422832981
Austria,2011,8473.58,847.358,10,529.59875,2.962133333333333
Bahrain,2010,805.97,402.985,2,320.17375,3.2942056074766355
Bahrain,2011,548.4,274.2,2,274.2,4.644117647058824
Belgium,2009,287.6,287.6,1,143.8,3.561111111111111
Belgium,2010,21590.74,1270.043529411765,17,449.80708333333337,2.9102083333333333
Belgium,2011,35255.61,1410.2244,25,379.0925806451613,3.084630434782609
Brazil,2010,255.67000000000002,255.67000000000002,1,255.67000000000002,1.7835
Brazil,2011,1143.6,1143.6,1,1143.6,4.45625
Canada,2010,1198.96,1198.96,1,599.48,1.9021052631578947
Canada,2011,3115.4399999999996,778.8599999999999,4,623.088,2.3975999999999997
Channel Islands,2009,989.18,989.18,1,989.18,3.737948717948718
Channel Islands,2010,23683.52,2153.0472727272727,11,816.6731034482759,4.888863636363636
Channel Islands,2011,19334.16,2416.77,8,840.6156521739131,4.022627939142462
Cyprus,2009,3503.88,1167.96,3,875.97,4.65941798941799
Cyprus,2010,8859.54,1107.4425,8,492.1966666666667,3.8692161520190025
Cyprus,2011,11440.67,1430.08375,8,880.0515384615385,5.63887619047619
Czech Republic,2011,786.74,786.74,1,393.37,1.5945833333333332
Denmark,2009,1365.66,682.83,2,682.83,3.4257142857142857
Denmark,2010,50096.87,5566.318888888889,9,2178.1247826086956,2.2726794258373206
Denmark,2011,17073.84,1897.0933333333332,9,1004.3435294117647,2.5648850574712645
EIRE,2009,17070.96,8535.48,2,987.1284210526317,4.755508771929824
EIRE,2010,326461.53,108820.51000000001,3,1168.1151170568562,3.9914226353198465
EIRE,2011,250426.77000000002,83475.59000000001,3,985.9637827715356,3.943091055384203
European Community,2011,1159.25,1159.25,1,386.4166666666667,4.242105263157895
Finland,2009,469.08000000000004,469.08000000000004,1,469.08000000000004,3.6300000000000003
