Country,Year,Description,Sales
Australia,2009,ANTIQUE SILVER TEA GLASS ETCHED,15.0
Australia,2009,CHARLOTTE BAG SUKI DESIGN,17.0
Australia,2009,CREAM FELT EASTER EGG BASKET,9.899999999999999
Australia,2009,HANGING HEART ZINC T-LIGHT HOLDER,20.4
Australia,2009,LUNCH BAG  BLACK SKULL.,16.5
Australia,2009,LUNCH BAG CARS BLUE,16.5
Australia,2009,PAPER BUNTING RETROSPOT,35.400000000000006
Australia,2009,PAPER BUNTING WHITE LACE,35.400000000000006
Australia,2009,PAPER CHAIN KIT RETROSPOT,35.400000000000006
Australia,2009,POTTING SHED SOW 'N' GROW SET,17.0
Australia,2009,POTTING SHED TWINE,12.600000000000001
Australia,2009,SAVE THE PLANET MUG,15.0
Australia,2009,STRAWBERRY CANDY BAG,12.5
Australia,2009,STRAWBERRY SHOPPER BAG,12.5
Australia,2010,12 PENCILS SMALL TUBE RED RETROSPOT,15.600000000000001
Australia,2010,20 DOLLY PEGS RETROSPOT,75.0
Australia,2010,36 PENCILS TUBE RED RETROSPOT,20.0
Australia,2010,4 TRADITIONAL SPINNING TOPS,30.0
Australia,2010,6 RIBBONS RUSTIC CHARM,39.599999999999994
Australia,2010,72 CAKE CASES DOLLY GIRL DESIGN,214.79999999999998
Australia,2010,AIRLINE BAG VINTAGE JET SET BROWN,12.7
Australia,2010,AIRLINE BAG VINTAGE JET SET RED,90.80000000000001
Australia,2010,AIRLINE BAG VINTAGE JET SET WHITE,12.7
Australia,2010,AIRLINE BAG VINTAGE TOKYO 78,12.7
Australia,2010,ALARM CLOCK BAKELIKE GREEN,30.0
Australia,2010,ALARM CLOCK BAKELIKE PINK,15.0
Australia,2010,ALARM CLOCK BAKELIKE RED ,30.0
Australia,2010,ASSORTED BOTTLE TOP  MAGNETS ,86.39999999999999
Australia,2010,ASSORTED COLOUR MINI CASES,15.9
Australia,2010,BABUSHKA LIGHTS STRING OF 10,54.0
Australia,2010,BAKING SET 9 PIECE RETROSPOT ,44.550000000000004
Australia,2010,BAKING SET SPACEBOY DESIGN,102.0
Australia,2010,BANQUET BIRTHDAY  CARD  ,5.04
Australia,2010,BATHROOM METAL SIGN,6.6000000000000005
Australia,2010,BEADED CRYSTAL HEART BLUE ON STICK,10.08
Australia,2010,BEADED CRYSTAL HEART PINK\ON STICK,10.08
Australia,2010,BEWARE OF THE CAT METAL SIGN ,20.28
Australia,2010,BINGO SET,45.0
Australia,2010,BIRDS MOBILE VINTAGE DESIGN,35.7
Australia,2010,BIRTHDAY BANQUET GIFT WRAP,10.5
Australia,2010,"BIRTHDAY CARD, RETRO SPOT",10.08
Australia,2010,BIRTHDAY PARTY CORDON BARRIER TAPE,60.0
